unit,n_portion,sex,age,country,time,value
PC,0,F,Y15-29,HR,2019 ,45.5
PC,0,F,Y15-29,HU,2019 ,45.8
PC,0,F,Y15-29,IE,2019 ,27.9
PC,0,F,Y15-29,IS,2019 ,24.4
PC,0,F,Y15-29,IT,2019 ,38.2
PC,0,F,Y15-29,LT,2019 ,40.5
PC,0,F,Y15-29,LU,2019 ,44.2
PC,0,F,Y15-29,LV,2019 ,50.0
PC,0,F,Y15-29,MT,2019 ,47.4
PC,0,F,Y15-29,NL,2019 ,55.4
PC,0,F,Y15-29,NO,2019 ,31.8
PC,0,F,Y15-29,PL,2019 ,38.8
PC,0,F,Y15-29,PT,2019 ,42.7
PC,0,F,Y15-29,RO,2019 ,74.8
PC,0,F,Y15-29,RS,2019 ,48.7
PC,0,F,Y15-29,SE,2019 ,44.2
PC,0,F,Y15-29,SI,2019 ,38.9
PC,0,F,Y15-29,SK,2019 ,42.9
PC,0,F,Y15-29,TR,2019 ,42.9
PC,0,F,Y15-29,UK,2019 ,
PC,0,F,Y15-44,AT,2019 ,
PC,0,F,Y15-44,BE,2019 ,
PC,0,F,Y15-44,BG,2019 ,
PC,0,F,Y15-44,CY,2019 ,
PC,0,F,Y15-44,CZ,2019 ,
PC,0,F,Y15-44,DE,2019 ,
PC,0,F,Y15-44,DK,2019 ,
PC,0,F,Y15-44,EE,2019 ,
PC,0,F,Y15-44,EL,2019 ,
PC,0,F,Y15-44,ES,2019 ,
PC,0,F,Y15-44,EU27_2020,2019 ,
PC,0,F,Y15-44,EU28,2019 ,
PC,0,F,Y15-44,FI,2019 ,
PC,0,F,Y15-44,FR,2019 ,
PC,0,F,Y15-44,HR,2019 ,
PC,0,F,Y15-44,HU,2019 ,
PC,0,F,Y15-44,IE,2019 ,
PC,0,F,Y15-44,IS,2019 ,
PC,0,F,Y15-44,IT,2019 ,
PC,0,F,Y15-44,LT,2019 ,
PC,0,F,Y15-44,LU,2019 ,
PC,0,F,Y15-44,LV,2019 ,
PC,0,F,Y15-44,MT,2019 ,
PC,0,F,Y15-44,NL,2019 ,
PC,0,F,Y15-44,NO,2019 ,
